"DATE_NAME","GEOGRAPHY_CODE","GEOGRAPHY_NAME","OBS_VALUE"
"2017","W01000593","Pembrokeshire 010C",2825
"2017","W01000594","Pembrokeshire 012E",2306
"2017","W01000595","Pembrokeshire 007C",2072
"2017","W01000596","Pembrokeshire 007D",1567
"2017","W01000597","Pembrokeshire 002E",1214
"2017","W01000598","Pembrokeshire 009C",2289
"2017","W01000599","Pembrokeshire 009D",2058
"2017","W01000600","Pembrokeshire 013A",1642
"2017","W01000601","Pembrokeshire 013B",1490
"2017","W01000602","Pembrokeshire 013C",1253
"2017","W01000603","Pembrokeshire 013D",1938
"2017","W01000604","Pembrokeshire 013E",1616
"2017","W01000605","Pembrokeshire 013F",1777
"2017","W01000606","Pembrokeshire 015B",1670
"2017","W01000607","Pembrokeshire 015C",2247
"2017","W01000608","Pembrokeshire 015D",1450
"2017","W01000609","Pembrokeshire 014D",2465
"2017","W01000610","Pembrokeshire 016A",1682
"2017","W01000611","Pembrokeshire 004C",1959
"2017","W01000612","Pembrokeshire 003C",1793
"2017","W01000613","Pembrokeshire 001E",2225
"2017","W01000614","Pembrokeshire 008D",1425
"2017","W01000615","Pembrokeshire 011E",1509
"2017","W01000616","Pembrokeshire 011F",1068
"2017","W01000617","Pembrokeshire 002F",1526
"2017","W01000618","Pembrokeshire 003D",1929
"2017","W01000619","Pembrokeshire 016B",2096
"2017","W01000620","Pembrokeshire 016C",914
"2017","W01000621","Pembrokeshire 016D",1498
"2017","W01000622","Pembrokeshire 008E",1453
"2017","W01000623","Pembrokeshire 004D",2005
"2017","W01000624","Carmarthenshire 005A",2300
"2017","W01000625","Carmarthenshire 013A",1186
"2017","W01000626","Carmarthenshire 013B",1427
"2017","W01000627","Carmarthenshire 013C",2374
"2017","W01000628","Carmarthenshire 024A",1551
"2017","W01000629","Carmarthenshire 024B",1674
"2017","W01000630","Carmarthenshire 024C",1676
"2017","W01000631","Carmarthenshire 024D",1834
"2017","W01000632","Carmarthenshire 021A",1464
"2017","W01000633","Carmarthenshire 021B",1424
"2017","W01000634","Carmarthenshire 021C",1338
"2017","W01000635","Carmarthenshire 025A",2374
"2017","W01000636","Carmarthenshire 025B",2001
"2017","W01000637","Carmarthenshire 007A",1375
"2017","W01000638","Carmarthenshire 007B",1141
"2017","W01000639","Carmarthenshire 007C",1337
"2017","W01000640","Carmarthenshire 007D",1234
"2017","W01000641","Carmarthenshire 008A",2054
"2017","W01000642","Carmarthenshire 008B",1719
"2017","W01000643","Carmarthenshire 006A",1674
"2017","W01000644","Carmarthenshire 006B",1881
"2017","W01000645","Carmarthenshire 006C",2037
"2017","W01000646","Carmarthenshire 003A",2224
"2017","W01000647","Carmarthenshire 002A",1453
"2017","W01000648","Carmarthenshire 006D",1428
"2017","W01000649","Carmarthenshire 006E",1565
"2017","W01000650","Carmarthenshire 002B",1583
"2017","W01000651","Carmarthenshire 020A",1620
"2017","W01000652","Carmarthenshire 020B",1951
"2017","W01000653","Carmarthenshire 023A",1487
"2017","W01000654","Carmarthenshire 023B",1783
"2017","W01000655","Carmarthenshire 020C",2087
"2017","W01000656","Carmarthenshire 010A",2144
"2017","W01000657","Carmarthenshire 010B",1117
"2017","W01000658","Carmarthenshire 010C",1282
