Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E07000088,Gosport,Female,82.12
2020 to 2022,England,Local Areas,E07000089,Hart,Male,83.74
2020 to 2022,England,Local Areas,E07000089,Hart,Female,86.12
2020 to 2022,England,Local Areas,E07000090,Havant,Male,79.52
2020 to 2022,England,Local Areas,E07000090,Havant,Female,83.58
2020 to 2022,England,Local Areas,E07000091,New Forest,Male,81.91
2020 to 2022,England,Local Areas,E07000091,New Forest,Female,85.06
2020 to 2022,England,Local Areas,E07000092,Rushmoor,Male,79.11
2020 to 2022,England,Local Areas,E07000092,Rushmoor,Female,83.24
2020 to 2022,England,Local Areas,E07000093,Test Valley,Male,81.28
2020 to 2022,England,Local Areas,E07000093,Test Valley,Female,84.04
2020 to 2022,England,Local Areas,E07000094,Winchester,Male,82.24
2020 to 2022,England,Local Areas,E07000094,Winchester,Female,85.94
2020 to 2022,England,Local Areas,E07000095,Broxbourne,Male,79.87
2020 to 2022,England,Local Areas,E07000095,Broxbourne,Female,84.02
2020 to 2022,England,Local Areas,E07000096,Dacorum,Male,80.36
2020 to 2022,England,Local Areas,E07000096,Dacorum,Female,84.31
2020 to 2022,England,Local Areas,E07000098,Hertsmere,Male,79.87
2020 to 2022,England,Local Areas,E07000098,Hertsmere,Female,84.34
2020 to 2022,England,Local Areas,E07000099,North Hertfordshire,Male,81.1
2020 to 2022,England,Local Areas,E07000099,North Hertfordshire,Female,83.92
2020 to 2022,England,Local Areas,E07000102,Three Rivers,Male,81.53
2020 to 2022,England,Local Areas,E07000102,Three Rivers,Female,84.88
2020 to 2022,England,Local Areas,E07000103,Watford,Male,79.06
2020 to 2022,England,Local Areas,E07000103,Watford,Female,83.16
2020 to 2022,England,Local Areas,E07000105,Ashford,Male,79.66
2020 to 2022,England,Local Areas,E07000105,Ashford,Female,83.34
2020 to 2022,England,Local Areas,E07000106,Canterbury,Male,79.2
2020 to 2022,England,Local Areas,E07000106,Canterbury,Female,83.25
2020 to 2022,England,Local Areas,E07000107,Dartford,Male,78.63
2020 to 2022,England,Local Areas,E07000107,Dartford,Female,82.41
2020 to 2022,England,Local Areas,E07000108,Dover,Male,78.03
2020 to 2022,England,Local Areas,E07000108,Dover,Female,82.5
2020 to 2022,England,Local Areas,E07000109,Gravesham,Male,77.73
2020 to 2022,England,Local Areas,E07000109,Gravesham,Female,82.67
2020 to 2022,England,Local Areas,E07000110,Maidstone,Male,79.82
2020 to 2022,England,Local Areas,E07000110,Maidstone,Female,83.27
2020 to 2022,England,Local Areas,E07000111,Sevenoaks,Male,81.06
2020 to 2022,England,Local Areas,E07000111,Sevenoaks,Female,84.36
2020 to 2022,England,Local Areas,E07000112,Folkestone and Hythe,Male,77.68
2020 to 2022,England,Local Areas,E07000112,Folkestone and Hythe,Female,82.32
2020 to 2022,England,Local Areas,E07000113,Swale,Male,78.11
2020 to 2022,England,Local Areas,E07000113,Swale,Female,81.99
2020 to 2022,England,Local Areas,E07000114,Thanet,Male,76.99
2020 to 2022,England,Local Areas,E07000114,Thanet,Female,81.69
2020 to 2022,England,Local Areas,E07000115,Tonbridge and Malling,Male,80.34
2020 to 2022,England,Local Areas,E07000115,Tonbridge and Malling,Female,84.39
2020 to 2022,England,Local Areas,E07000116,Tunbridge Wells,Male,80.63
2020 to 2022,England,Local Areas,E07000116,Tunbridge Wells,Female,83.77
2020 to 2022,England,Local Areas,E07000117,Burnley,Male,75.5
2020 to 2022,England,Local Areas,E07000117,Burnley,Female,79.94
2020 to 2022,England,Local Areas,E07000118,Chorley,Male,78.46
2020 to 2022,England,Local Areas,E07000118,Chorley,Female,81.9
2020 to 2022,England,Local Areas,E07000119,Fylde,Male,78.72
2020 to 2022,England,Local Areas,E07000119,Fylde,Female,82.68
2020 to 2022,England,Local Areas,E07000120,Hyndburn,Male,76.31
2020 to 2022,England,Local Areas,E07000120,Hyndburn,Female,80.22
2020 to 2022,England,Local Areas,E07000121,Lancaster,Male,77.82
2020 to 2022,England,Local Areas,E07000121,Lancaster,Female,81.74
2020 to 2022,England,Local Areas,E07000122,Pendle,Male,77.63
2020 to 2022,England,Local Areas,E07000122,Pendle,Female,81.04
2020 to 2022,England,Local Areas,E07000123,Preston,Male,75.71
2020 to 2022,England,Local Areas,E07000123,Preston,Female,80.65
2020 to 2022,England,Local Areas,E07000124,Ribble Valley,Male,81.03
2020 to 2022,England,Local Areas,E07000124,Ribble Valley,Female,84.11
2020 to 2022,England,Local Areas,E07000125,Rossendale,Male,77.11
2020 to 2022,England,Local Areas,E07000125,Rossendale,Female,81.2
2020 to 2022,England,Local Areas,E07000126,South Ribble,Male,79.99
2020 to 2022,England,Local Areas,E07000126,South Ribble,Female,83.38
2020 to 2022,England,Local Areas,E07000127,West Lancashire,Male,78.1
2020 to 2022,England,Local Areas,E07000127,West Lancashire,Female,82.6
2020 to 2022,England,Local Areas,E07000128,Wyre,Male,78.46
2020 to 2022,England,Local Areas,E07000128,Wyre,Female,81.79
2020 to 2022,England,Local Areas,E07000129,Blaby,Male,80.66
2020 to 2022,England,Local Areas,E07000129,Blaby,Female,84.08
2020 to 2022,England,Local Areas,E07000130,Charnwood,Male,79.51
2020 to 2022,England,Local Areas,E07000130,Charnwood,Female,83.82
2020 to 2022,England,Local Areas,E07000131,Harborough,Male,80.69
2020 to 2022,England,Local Areas,E07000131,Harborough,Female,83.99
